beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,4.0,C#4,start,61,0.0,0.0
4.0,4.0,C#4,continue,61,2.4,2.4
8.0,1.0,C#4,stop,61,4.8,4.8
9.0,0.5,F#4,no,66,5.4,5.4
9.5,0.5,D4,no,62,5.7,5.7
10.0,0.5,B3,no,59,6.0,6.0
10.5,0.5,A3,no,57,6.3,6.3
11.0,0.5,G#3,no,56,6.6000000000000005,6.6000000000000005
11.5,0.5,A3,no,57,6.9,6.9
12.0,2.0,G#3,no,56,7.2,7.2
14.0,0.5,F#3,no,54,8.4,8.4
14.5,1.5,E3,no,52,8.700000000000001,8.700000000000001
16.0,4.0,E4,no,64,9.6,9.6
20.0,0.5,E4,no,64,12.0,12.0
20.5,0.5,C#4,no,61,12.3,12.21125
21.0,0.5,G3,no,55,12.6,12.61
21.5,0.5,F#3,no,54,12.9,12.92125
22.0,0.5,B3,no,59,13.200000000000001,13.276250000000001
22.5,0.5,A#3,no,58,13.5,13.66375
23.0,0.5,E4,no,64,13.8,13.89875
23.5,0.5,D4,no,62,14.1,14.19875
24.0,4.0,D4,no,62,14.4,14.63125
28.0,0.5,D4,no,62,16.8,16.8
28.5,0.5,B3,no,59,17.1,17.1
29.0,0.5,F#3,no,54,17.400000000000002,17.400000000000002
29.5,0.5,E3,no,52,17.7,17.7
30.0,0.5,A3,no,57,18.0,18.0
30.5,0.5,G#3,no,56,18.3,18.14375
31.0,0.5,D4,no,62,18.6,18.43375
31.5,0.5,C#4,no,61,18.900000000000002,18.73375
32.0,3.0,C#4,no,61,19.2,19.03375
35.0,0.5,D#4,no,63,21.0,20.43375
35.5,0.5,E4,no,64,21.3,20.73375
36.0,1.0,A3,no,57,21.6,21.03375
37.0,0.25,A3,no,57,22.2,21.63375
37.25,0.25,B3,no,59,22.35,21.78375
37.5,0.5,C#4,no,61,22.5,21.93375
38.0,0.5,C#4,no,61,22.8,22.23375
38.5,0.5,B3,no,59,23.1,22.53375
39.0,0.5,B3,no,59,23.400000000000002,22.833750000000002
39.5,0.5,A3,no,57,23.7,23.13375
40.0,0.5,G#3,no,56,24.0,23.43375
40.5,0.5,F#3,no,54,24.3,23.60875
41.0,0.25,F#3,no,54,24.6,24.03375
41.25,0.25,G#3,no,56,24.75,24.18375
41.5,0.5,A3,no,57,24.900000000000002,24.333750000000002
42.0,1.0,A3,no,57,25.2,24.63375
43.0,0.5,G#3,no,56,25.8,25.23375
43.5,0.5,F#3,no,54,26.1,25.53375
44.0,4.0,E3,no,52,26.400000000000002,26.0575
48.0,2.0,G#3,no,56,28.8,28.4575
50.0,0.5,G#3,no,56,30.0,29.6575
50.5,0.25,A3,no,57,30.3,29.9575
50.75,0.25,G#3,no,56,30.45,30.080000000000002
51.0,0.25,F#3,no,54,30.6,30.19375
51.25,0.25,G#3,no,56,30.75,30.28875
51.5,0.5,E3,no,52,30.900000000000002,30.365000000000002
52.0,3.0,E4,no,64,31.2,30.665
55.0,1.0,G3,no,55,33.0,32.465
56.0,1.0,F#3,no,54,33.6,33.065
57.0,1.0,F#4,no,66,34.2,33.665
58.0,0.5,F#4,no,66,34.800000000000004,34.265
58.5,0.5,E4,no,64,35.1,34.565
59.0,0.5,D4,no,62,35.4,34.865
59.5,0.5,C#4,no,61,35.7,35.165
60.0,2.0,D4,no,62,36.0,35.465
62.0,0.25,D4,no,62,37.2,36.665
62.25,0.25,C#4,no,61,37.35,36.815
62.5,0.25,B3,no,59,37.5,36.965
62.75,0.25,A3,no,57,37.65,37.115
63.0,0.5,G#3,no,56,37.800000000000004,37.265
63.5,0.5,F#3,no,54,38.1,37.565
64.0,0.5,E#3,no,53,38.4,37.865
64.5,0.5,F#3,no,54,38.7,38.165
65.0,1.0,G#3,no,56,39.0,38.465
66.0,0.5,G#3,no,56,39.6,39.065
66.5,0.5,A3,no,57,39.9,39.365
67.0,1.0,B3,no,59,40.2,39.665
68.0,0.5,B3,no,59,40.800000000000004,40.265
68.5,0.5,C#4,no,61,41.1,40.565
69.0,2.0,D4,no,62,41.4,40.865
71.0,1.0,C#4,no,61,42.6,42.065
72.0,0.5,B3,no,59,43.2,42.665
72.5,0.5,A3,no,57,43.5,42.965
73.0,0.5,G#3,no,56,43.800000000000004,43.265
73.5,0.5,F#3,no,54,44.1,43.565
74.0,0.5,G#3,no,56,44.4,43.865
74.5,0.25,A3,no,57,44.7,44.165
74.75,0.25,B3,no,59,44.85,44.315
75.0,1.0,A3,no,57,45.0,44.465
76.0,4.0,F#3,no,54,45.6,45.065
80.0,2.0,A3,no,57,48.0,47.465
82.0,0.5,A3,no,57,49.2,48.665
82.5,0.5,C#4,no,61,49.5,48.965
83.0,0.5,B3,no,59,49.800000000000004,49.265
83.5,0.5,A3,no,57,50.1,49.565
84.0,3.0,F#4,no,66,50.4,49.865
87.0,0.5,E4,no,64,52.2,51.665
87.5,0.5,D#4,no,63,52.5,51.965
88.0,0.25,C#4,no,61,52.800000000000004,52.265
88.25,0.25,B3,no,59,52.95,52.415
88.5,0.5,E4,no,64,53.1,52.565
89.0,1.0,E3,no,52,53.4,52.865
90.0,1.5,F#3,no,54,54.0,53.465
91.5,0.25,G#3,no,56,54.9,54.365
91.75,0.25,A3,no,57,55.050000000000004,54.515
92.0,1.5,G#3,no,56,55.2,54.665
93.5,0.5,F#3,no,54,56.1,55.565
94.0,2.0,E3,no,52,56.4,55.865
96.0,3.0,A3,no,57,57.6,57.065
99.0,0.5,C#4,no,61,59.4,58.865
99.5,0.5,B3,no,59,59.7,59.165
