beat,duration,pitch,tie,midi,ref_ts,live_ts
4.0,1.0,F#3,no,54,4.8,
5.0,0.5,F#3,no,54,6.0,
5.5,0.5,E3,no,52,6.6000000000000005,
6.0,1.0,D3,no,50,7.2,
7.0,1.0,D3,no,50,8.4,
8.0,1.0,E3,no,52,9.6,
9.0,1.0,E3,no,52,10.8,
10.0,0.5,F#3,no,54,12.0,
10.5,0.5,E3,no,52,12.6,
11.0,1.0,D3,no,50,13.200000000000001,
12.0,1.0,A3,no,57,14.4,
13.0,0.5,A3,no,57,15.6,
13.5,0.5,G3,no,55,16.2,
14.0,1.0,F#3,no,54,16.8,
15.0,1.0,F#3,no,54,18.0,
16.0,0.5,E3,no,52,19.2,
16.5,0.5,D3,no,50,19.8,
17.0,0.5,E3,no,52,20.400000000000002,
17.5,0.5,F#3,no,54,21.0,
18.0,2.0,D3,no,50,21.6,
20.0,1.0,F#3,no,54,24.0,
21.0,0.5,F#3,no,54,25.2,
21.5,0.5,G3,no,55,25.8,
22.0,1.0,A3,no,57,26.400000000000002,
23.0,1.0,A3,no,57,27.6,
24.0,1.0,B3,no,59,28.8,
25.0,1.0,B3,no,59,30.0,
26.0,0.5,A3,no,57,31.2,
26.5,0.5,G3,no,55,31.8,
27.0,1.0,F#3,no,54,32.4,
28.0,1.0,F#3,no,54,33.6,
29.0,0.5,F#3,no,54,34.800000000000004,
29.5,0.5,G3,no,55,35.4,
30.0,1.0,A3,no,57,36.0,
31.0,1.0,A3,no,57,37.2,
32.0,1.0,B3,no,59,38.4,
33.0,1.0,B3,no,59,39.6,
34.0,2.0,A3,no,57,40.800000000000004,
36.0,1.0,F#3,no,54,43.2,
37.0,0.5,F#3,no,54,44.4,
37.5,0.5,E3,no,52,45.0,
38.0,1.0,D3,no,50,45.6,
39.0,1.0,D3,no,50,46.800000000000004,
40.0,1.0,E3,no,52,48.0,
41.0,1.0,E3,no,52,49.2,
42.0,0.5,F#3,no,54,50.4,
42.5,0.5,E3,no,52,51.0,
43.0,1.0,D3,no,50,51.6,
44.0,1.0,A3,no,57,52.800000000000004,
45.0,0.5,A3,no,57,54.0,
45.5,0.5,G3,no,55,54.6,
46.0,1.0,F#3,no,54,55.2,
47.0,1.0,F#3,no,54,56.4,
48.0,0.5,E3,no,52,57.6,
48.5,0.5,D3,no,50,58.2,
49.0,0.5,E3,no,52,58.800000000000004,
49.5,0.5,F#3,no,54,59.4,
50.0,2.0,D3,no,50,60.0,
